都市コード,都市名,国名
SEO,SEGUELA,Cote d’Ivoire
SEU,SERONERA,Tanzania
SEY,SELIBABI,Mauritania
SEZ,MAHE ISLAND,Seychelles
SFA,SFAX,Tunisia
SFD,SAN FERNANDO APURE,Venezuela
SFE,SAN FERNANDO,Philippines
SFG,ST MARTIN,St. Martin
SFH,SAN FELIPE,Mexico
SFJ,KANGERLUSSUAQ,Greenland
SFL,SAO FILIPE,Cape Verde
SFN,SANTA FE,Argentina
SFO,SAN FRANCISCO,United States of America
SFQ,SANLIURFA,Turkey
SFS,SUBIC BAY,Philippines
SFT,SKELLEFTEA,Sweden
SFU,SAFIA,Papua New Guinea
SFW,SANTA FE,Panama
SFY,SPRINGFIELD,United States of America
SGA,SHEGHNAN,Afghanistan
SGC,SURGUT,Russia (in Asia)
SGD,SONDERBORG,Denmark
SGE,SIEGEN,Germany
SGF,SPRINGFIELD,United States of America
SGG,SERMILIGAAQ,Greenland
SGG,SIMANGGANG,Malaysia
SGH,SPRINGFIEL,United States of America
SGI,SARGODHA,Pakistan
SGJ,SAGARAI,Papua New Guinea
SGK,SANGAPI,Papua New Guinea
SGN,HO CHI MINH CITY,Vietnam
SGO,ST GEORGE,Australia
SGU,ST GEORGE,United States of America
SGV,SIERRA GRANDE,Argentina
SGX,SONGEA,Tanzania
SGY,SKAGWAY,United States of America
SHA,SHANGHAI,"China, People’s Republic of"
SHB,NAKASHIBETSU,Japan
SHC,INDA SELASSIE,Ethiopia
SHD,STAUNTON/WAYNESBORO,United States of America
SHE,SHENYANG,"China, People’s Republic of"
SHF,SHANHAIGUAN,"China, People’s Republic of"
SHG,SHUNGNAK,United States of America
SHH,SHISHMAREF,United States of America
SHI,SHIMOJISHIMA,Japan
SHJ,SHARJAH,United Arab Emirates
SHK,SEHONGHONG,Lesotho
SHL,SHILLONG,India (including Andaman Isl.)
SHM,SHIRAHAMA,Japan
SHN,SHELTON,United States of America
SHQ,SOUTHPORT,Australia
SHR,SHERIDAN,United States of America
SHS,JINGZHOU,"China, People’s Republic of"
SHT,SHEPPARTON,Australia
SHV,SHREVEPORT,United States of America
SHW,SHARURAH,Saudi Arabia
SHX,SHAGELUK,United States of America
SHY,SHINYANGA,Tanzania
SHZ,SESHOTE,Lesotho
SIA,XI'AN,"China, People’s Republic of"
SIB,SIBITI,Congo
SID,SAL ISLAND,Cape Verde
SIF,SIMARA,Nepal
SIH,DIPAYAL SILGADHI,Nepal
SII,SIDI IFNI,Morocco
SIJ,SIGLUFJORDUR,Iceland
SIL,SILA,Papua New Guinea
SIM,SIMBAI,Papua New Guinea
SIN,SINGAPORE,Singapore
SIO,SMITHTON,Australia
SIP,SIMFEROPOL,Ukraine
SIQ,SINGKEP,Indonesia
SIR,SION,Switzerland
SIS,SISHEN,South Africa
SIT,SITKA,United States of America
SIU,SIUNA,Nicaragua
SIX,SINGLETON,Australia
SIZ,SISSANO,Papua New Guinea
SJB,SAN JOAQUIN,Bolivia
SJC,SAN JOSE,United States of America
SJD,SAN JOSE DEL CABO,Mexico
SJE,SAN JOSE DEL GUAVIARE,Colombia
SJF,ST JOHN ISLAND,"Virgin Islands, (US)"
SJH,SAN JUAN DEL CESAR,Colombia
SJI,SAN JOSE,Philippines
SJJ,SARAJEVO,Bosnia and Herzegovina
SJK,SAO JOSE DOS CAMPOS,Brazil
SJL,SAO GABRIEL,Brazil
SJO,SAN JOSE,Costa Rica
SJP,SAO JOSE DO RIO PRETO,Brazil
SJQ,SESHEKE,Zambia
SJT,SAN ANGELO,United States of America
SJU,SAN JUAN,Puerto Rico
SJV,SAN JAVIER,Bolivia
SJW,SHIJIAZHUANG,"China, People’s Republic of"
SJX,SARTENEJA,Belize
SJY,SEINAJOKI,Finland
SJZ,SAO JORGE ISLAND,Portugal (including Azores & Madeira)
SKB,ST KITTS,St. Kitts and Nevis
SKC,SUKI,Papua New Guinea
SKD,SAMARKAND,Uzbekistan
SKE,SKIEN,Norway
SKG,THESSALONIKI,Greece
SKH,SURKHET,Nepal
SKI,SKIKDA,Algeria
SKJ,SITKINAK ISLAND,United States of America
SKK,SHAKTOOLIK,United States of America
SKL,SKYE,United Kingdom
SKN,STOKMARKNES,Norway
SKO,SOKOTO,Nigeria
SKP,SKOPJE,"North Macedonia, Republic of"
SKQ,SEKAKE,Lesotho
SKR,SHAKISO,Ethiopia
SKS,VOJENS,Denmark
SKT,SIALKOT,Pakistan
SKU,SKYROS,Greece
SKV,ST CATHERINE,Egypt
SKW,SKWENTNA,United States of America
SKX,SARANSK,Russia (in Europe)
SKY,SANDUSKY,United States of America
SKZ,SUKKUR,Pakistan
SLA,SALTA,Argentina
SLC,SALT LAKE CITY,United States of America
SLD,SLIAC,Slovak Republic
SLE,SALEM,United States of America
SLH,SOLA,Vanuatu
SLI,SOLWEZI,Zambia
SLJ,SOLOMON,Australia
SLK,SARANAC LAKE,United States of America
SLL,SALALAH,Oman
SLM,SALAMANCA,Spain and Canary Islands
SLN,SALINA,United States of America
SLP,SAN LUIS POTOSI,Mexico
SLQ,SLEETMUTE,United States of America
SLS,SILISTRA,Bulgaria
SLT,SALIDA,United States of America
SLU,ST LUCIA,St. Lucia
SLV,SHIMLA,India (including Andaman Isl.)
SLW,SALTILLO,Mexico
SLX,SALT CAY,Turks and Caicos Islands
SLY,SALEKHARD,Russia (in Asia)
SLZ,SAO LUIS,Brazil
SMA,SANTA MARIA ISLAND,Portugal (including Azores & Madeira)
SMB,CERRO SOMBRERO,Chile
SMH,SAPMANGA,Papua New Guinea
SMI,SAMOS,Greece
SMJ,SIM,Papua New Guinea
SMK,ST MICHAEL,United States of America
SML,STELLA MARIS,Bahamas
SMM,SEMPORNA,Malaysia
SMP,STOCKHOLM,Papua New Guinea
SMQ,SAMPIT,Indonesia
SMR,SANTA MARTA,Colombia
SMS,STE MARIE,Madagascar
SMT,SORRISO,Brazil
SMV,ST MORITZ,Switzerland
SMW,SMARA,Morocco
SMX,SANTA MARIA,United States of America
SMY,SIMENTI,Senegal
SMZ,STOELMANSEILAND,Suriname
SNA,SANTA ANA,United States of America
SNB,MILIKAPITI,Australia
SNC,SALINAS,Ecuador
SND,SENO,Lao People’s Dem. Rep.
SNE,SAO NICOLAU ISLAND,Cape Verde
SNF,SAN FELIPE,Venezuela
SNG,SAN IGNACIO DE VELASCO,Bolivia
SNH,STANTHORPE,Australia
SNI,SINOE,Liberia
SNM,SAN IGNACIO DE MOXOS,Bolivia
SNN,SHANNON,Ireland
SNO,SAKON NAKHON,Thailand
SNP,ST PAUL ISLAND,United States of America
SNR,ST NAZAIRE,France
SNS,SALINAS,United States of America
SNU,SANTA CLARA,Cuba
SNV,SANTA ELENA DE UAIREN,Venezuela
SNW,THANDWE,Myanmar
SNY,SIDNEY,United States of America
SOB,HEVZI,Hungary
SOC,SURAKARTA (SOLO),Indonesia
SOD,SOROCABA,Brazil
SOE,SOUANKE,Congo
SOF,SOFIA,Bulgaria
SOG,SOGNDAL,Norway
SOI,SOUTH MOLLE ISLAND,Australia
SOJ,SORKJOSEN,Norway
SOK,SEMONGKONG,Lesotho
SOL,SOLOMON,United States of America
SOM,SAN TOME,Venezuela
SON,LUGANVILLE,Vanuatu
SOO,SODERHAMN,Sweden
SOP,SOUTHERN PINES,United States of America
SOQ,SORONG,Indonesia
SOT,SODANKYLA,Finland
SOU,SOUTHAMPTON,United Kingdom
SOV,SELDOVIA,United States of America
SOW,SHOW LOW,United States of America
SOX,SOGAMOSO,Colombia
SOY,STRONSAY,United Kingdom
SPA,SPARTANBURG,United States of America
SPC,SANTA CRUZ DE LA PALMA,Spain and Canary Islands
SPD,SAIDPUR,Bangladesh
SPE,SEPULOT,Malaysia
SPH,SOPU,Papua New Guinea
SPI,SPRINGFIELD,United States of America
SPJ,SPARTA,Greece
SPK,SAPPORO,Japan
SPN,SAIPAN,Northern Mariana Islands (incl. Mariana Islands except Guam)
SPP,MENONGUE,Angola
SPQ,SAN PEDRO,United States of America
SPR,SAN PEDRO,Belize
SPS,WICHITA FALLS,United States of America
SPU,SPLIT,Croatia
SPW,SPENCER,United States of America
SPX,GIZA,Egypt
SPY,SAN PEDRO,Cote d’Ivoire
SPZ,SPRINGDALE,United States of America
SQC,SOUTHERN CROSS,Australia
SQG,SINTANG,Indonesia
SQH,SON LA,Vietnam
SQI,STERLING/ROCK FALLS,United States of America
SQJ,SANMING,"China, People’s Republic of"
SQJ,SHEHDI,Ethiopia
SQK,SIDI BARRANI,Egypt
SQM,SAO MIGUEL DO ARAGUAIA,Brazil
SQN,SANANA,Indonesia
SQO,STORUMAN,Sweden
SQR,SOROAKO,Indonesia
SQS,SAN IGNACIO,Belize
SQT,SAMARAI ISLAND,Papua New Guinea
SQU,SAPOSOA,Peru
SQV,SEQUIM,United States of America
SQW,SKIVE,Denmark
SRA,SANTA ROSA,Brazil
SRD,SAN RAMON,Bolivia
SRE,SUCRE,Bolivia
SRF,SAN RAFAEL,United States of America
SRG,SEMARANG,Indonesia
SRH,SARH,Chad
SRI,SAMARINDA,Indonesia
SRJ,SAN BORJA,Bolivia
SRM,SANDRINGHAM STATION,Australia
SRN,STRAHAN,Australia
SRP,STORD,Norway
SRQ,BRADENTON,United States of America
SRQ,SARASOTA,United States of America
SRT,SOROTI,Uganda
SRV,STONY RIVER,United States of America
SRX,SIRTE,Libya
SRY,SARI,Iran (Islamic Republic of)
SRZ,SANTA CRUZ,Bolivia
SSA,SALVADOR,Brazil
SSC,SUMTER,United States of America
SSD,SAN FELIPE,Colombia
SSE,SOLAPUR,India (including Andaman Isl.)
SSG,MALABO,Equatorial Guinea
SSH,SHARM EL-SHEIKH,Egypt
SSI,BRUNSWICK,United States of America
SSJ,SANDNESSJOEN,Norway
SSK,STURT CREEK,Australia
SSL,SANTA ROSALIA,Colombia
SSM,SAULT SAINTE MARIE,United States of America
SSO,SAO LOURENCO,Brazil
SSQ,LA SARRE,Canada
SSR,SARA,Vanuatu
SSS,SIASSI,Papua New Guinea
SSX,SINGITA,South Africa
SSY,M'BANZA CONGO,Angola
SSZ,SANTOS,Brazil
STA,STAUNING,Denmark
STB,SANTA BARBARA ZULIA,Venezuela
STC,ST CLOUD,United States of America
STD,SANTO DOMINGO,Venezuela
STE,STEVENS POINT,United States of America
STG,ST GEORGE ISLAND,United States of America
STI,SANTIAGO,Dominican Republic
STL,ST LOUIS,United States of America
STM,SANTAREM,Brazil
STO,STOCKHOLM,Sweden
STQ,ST MARYS,United States of America
STR,STUTTGART,Germany
STS,SANTA ROSA,United States of America
STT,ST THOMAS ISLAND,"Virgin Islands, (US)"
STV,SURAT,India (including Andaman Isl.)
STW,STAVROPOL,Russia (in Europe)
STX,ST CROIX ISLAND,"Virgin Islands, (US)"
STY,SALTO,Uruguay
STZ,SANTA TEREZINHA,Brazil
SUA,STUART,United States of America
SUB,SURABAYA,Indonesia
SUE,STURGEON BAY,United States of America
SUF,LAMEZIA-TERME,Italy
SUG,SURIGAO,Philippines
SUH,SUR,Oman
SUI,SUKHUMI,Georgia
SUJ,SATU MARE,Romania
SUL,SUI,Pakistan
SUN,HAILEY,United States of America
SUN,SUN VALLEY,United States of America
SUQ,SUCUA,Ecuador
SUR,SUMMER BEAVER,Canada
SUT,SUMBAWANGA,Tanzania
SUV,SUVA,Fiji
SUX,SIOUX CITY,United States of America
SUY,SUNTAR,Russia (in Asia)
SUZ,SURIA,Papua New Guinea
SVA,SAVOONGA,United States of America
SVB,SAMBAVA,Madagascar
SVC,SILVER CITY,United States of America
SVD,ST VINCENT,St. Vincent and the Grenadines
SVF,SAVE,Benin
SVG,STAVANGER,Norway
SVI,SAN VICENTE,Colombia
SVJ,SVOLVAER,Norway
SVL,SAVONLINNA,Finland
SVM,ST PAULS,Australia
SVP,KUITO,Angola
SVQ,SEVILLA,Spain and Canary Islands
SVS,STEVENS VILLAGE,United States of America
SVU,SAVUSAVU,Fiji
SVX,YEKATERINBURG,Russia (in Asia)
SVY,SAVO ISLAND,Solomon Islands
SVZ,SAN ANTONIO TACHIRA,Venezuela
SWA,SHANTOU,"China, People’s Republic of"
SWB,SHAW RIVER,Australia
SWD,SEWARD,United States of America
SWE,SIWEA,Papua New Guinea
SWF,NEWBURGH,United States of America
SWG,SATWAG,Papua New Guinea
SWH,SWAN HILL,Australia
SWJ,SOUTH WEST BAY,Vanuatu
SWK,SEGRATE,Italy
SWL,SAN VINCENTE,Philippines
SWO,STILLWATER,United States of America
SWP,SWAKOPMUND,Namibia
SWQ,SUMBAWA,Indonesia
SWR,SILUR,Papua New Guinea
SWS,SWANSEA,United Kingdom
SWT,STREZHEVOY,Russia (in Asia)
SWY,SITIAWAN,Malaysia
SXA,SIALUM,Papua New Guinea
SXB,STRASBOURG,France
SXD,SOPHIA ANTIPOLIS,France
SXE,SALE,Australia
SXG,SENANGA,Zambia
SXH,SEHULEA,Papua New Guinea
SXK,SAUMLAKI,Indonesia
SXL,SLIGO,Ireland
SXM,ST MAARTEN,St. Maarten
SXO,SAO FELIX DO ARAGUAIA,Brazil
SXP,NUNAM IQUA,United States of America
SXQ,SOLDOTNA,United States of America
SXR,SRINAGAR,India (including Andaman Isl.)
SXS,SAHABAT,Malaysia
SXT,TAMAN NEGARA,Malaysia
SXU,SODO,Ethiopia
SXV,SALEM,India (including Andaman Isl.)
SXW,SAUREN,Papua New Guinea
SXX,SAO FELIX DO XINGU,Brazil
SXZ,SIIRT,Turkey
SYA,SHEMYA,United States of America
SYD,SYDNEY,Australia
SYE,SADAH,Yemen
SYJ,SIRJAN,Iran (Islamic Republic of)
SYK,STYKKISHOLMUR,Iceland
SYM,SIMAO,"China, People’s Republic of"
SYO,SHONAI,Japan
SYP,SANTIAGO,Panama
SYR,SYRACUSE,United States of America
SYU,WARRABER ISLAND,Australia
SYW,SEHWAN,Pakistan
SYX,SANYA,"China, People’s Republic of"
SYY,STORNOWAY,United Kingdom
SYZ,SHIRAZ,Iran (Islamic Republic of)
SZA,SOYO,Angola
SZC,SANTA CRUZ,Costa Rica
SZD,SHEFFIELD,United Kingdom
SZE,SEMERA,Ethiopia
SZF,SAMSUN,Turkey
SZG,SALZBURG,Austria
SZK,SKUKUZA,South Africa
SZM,SESRIEM,Namibia
SZQ,SAENZ PENA,Argentina
SZR,STARA ZAGORA,Bulgaria
SZS,STEWART ISLAND,New Zealand
SZT,SAN CRISTOBAL DE LAS CAS,Mexico
SZU,SEGOU,Mali
SZV,SUZHOU,"China, People’s Republic of"
SZX,SHENZHEN,"China, People’s Republic of"
SZY,SZCZYTNO,Poland
SZZ,SZCZECIN,Poland
TAB,TOBAGO,Trinidad and Tobago
TAC,TACLOBAN,Philippines
TAE,DAEGU,Korea (Rep. of)
TAG,PANGLAO,Philippines
TAH,TANNA ISLAND,Vanuatu
TAI,TAIZZ,Yemen
TAK,TAKAMATSU,Japan
TAL,TANANA,United States of America
TAM,TAMPICO,Mexico
TAO,QINGDAO,"China, People’s Republic of"
TAP,TAPACHULA,Mexico
TAR,TARANTO,Italy
TAS,TASHKENT,Uzbekistan
TAT,POPRAD,Slovak Republic
TAU,TAURAMENA,Colombia
TAV,TAU,American Samoa
TAW,TACUAREMBO,Uruguay
TAY,TARTU,Estonia
TAZ,DASHOGUZ,Turkmenistan
TBA,TABIBUGA,Papua New Guinea
TBB,TUY HOA,Vietnam
TBD,TIMBIQUI,Colombia
TBE,TIMBUNKE,Papua New Guinea
TBF,TABITEUEA NORTH,Kiribati
TBG,TABUBIL,Papua New Guinea
TBH,TABLAS ISLAND,Philippines
TBI,THE BIGHT,Bahamas
TBJ,TABARKA,Tunisia
TBN,FORT LEONARD WOOD,United States of America
TBO,TABORA,Tanzania
TBP,TUMBES,Peru
TBS,TBILISI,Georgia
TBT,TABATINGA,Brazil
TBU,NUKU'ALOFA,Tonga
TBW,TAMBOV,Russia (in Europe)
TBZ,TABRIZ,Iran (Islamic Republic of)
TCA,TENNANT CREEK,Australia
TCB,TREASURE CAY,Bahamas
TCD,TARAPACA,Colombia
TCE,TULCEA,Romania
TCF,TOCOA,Honduras
TCH,TCHIBANGA,Gabon
TCI,TENERIFE,Spain and Canary Islands
TCJ,TOREMBI,Papua New Guinea
TCK,TINBOLI,Papua New Guinea
TCL,TUSCALOOSA,United States of America
TCO,TUMACO,Colombia
TCP,TABA,Egypt
TCQ,TACNA,Peru
TCR,TUTICORIN,India (including Andaman Isl.)
TCT,TAKOTNA,United States of America
TCU,THABA NCHU,South Africa
TCW,TOCUMWAL,Australia
TCZ,TENGCHONG,"China, People’s Republic of"
TDA,TRINIDAD,Colombia
TDB,TETABEDI,Papua New Guinea
TDD,TRINIDAD,Bolivia
TDG,TANDAG,Philippines
TDJ,TADJOURA,Djibouti
TDK,TALDYKORGAN,Kazakhstan
TDL,TANDIL,Argentina
TDX,TRAT,Thailand
TEB,TETERBORO,United States of America
TEC,TELEMACO BORBA,Brazil
TED,THISTED,Denmark
TEE,TBESSA,Algeria
TEF,TELFER,Australia
TEH,TETLIN,United States of America
TEI,TEZU,India (including Andaman Isl.)
TEK,TATITLEK,United States of America
TEM,TEMORA,Australia
TEN,TONGREN,"China, People’s Republic of"
TEO,TERAPO,Papua New Guinea
TEP,TEPTEP,Papua New Guinea
TEQ,TEKIRDAG,Turkey
TER,TERCEIRA ISLAND,Portugal (including Azores & Madeira)
TET,TETE,Mozambique
TEU,TE ANAU,New Zealand
TEV,TERUEL,Spain and Canary Islands
TEX,TELLURIDE,United States of America
TEY,THINGEYRI,Iceland
TEZ,TEZPUR,India (including Andaman Isl.)
TFC,TAORMINA,Italy
TFF,TEFE,Brazil
TFI,TUFI,Papua New Guinea
TFL,TEOFILO OTONI,Brazil
TFM,TELEFOMIN,Papua New Guinea
TFY,KRUI,Indonesia
TGC,TANJUNG MANIS,Malaysia
TGD,PODGORICA,Montenegro
TGF,TIGNES,France
TGG,KUALA TERENGGANU,Malaysia
TGH,TONGOA ISLAND,Vanuatu
TGI,TINGO MARIA,Peru
TGJ,TIGA,New Caledonia (including Loyalty Islands)
TGK,TAGANROG,Russia (in Europe)
TGL,TAGULA,Papua New Guinea
TGM,TIRGU MURES,Romania
TGN,TRARALGON,Australia
TGO,TONGLIAO,"China, People’s Republic of"
TGQ,TANGARA DA SERRA,Brazil
TGR,TOUGGOURT,Algeria
TGT,TANGA,Tanzania
TGU,TEGUCIGALPA,Honduras
TGV,TARGOVISHTE,Bulgaria
TGZ,TUXTLA GUTIERREZ,Mexico
THB,THABA-TSEKA,Lesotho
THC,TCHIEN,Liberia
THD,THANH HOA,Vietnam
THE,TERESINA,Brazil
THG,THANGOOL,Australia
THH,TAHAROA,New Zealand
THI,TICHIT,Mauritania
THK,THAKHEK,Lao People’s Dem. Rep.
THL,TACHILEK,Myanmar
THN,TROLLHATTAN/VANERSBORG,Sweden
THO,THORSHOFN,Iceland
THQ,TIANSHUI,"China, People’s Republic of"
THR,TEHRAN,Iran (Islamic Republic of)
THS,SUKHOTHAI,Thailand
THT,TAMCHAKETT,Mauritania
THU,PITUFFIK,Greenland
THX,TURUKHANSK,Russia (in Asia)
THY,THOHOYANDOU,South Africa
THZ,TAHOUA,Niger
TIA,TIRANA,Albania
TIC,TINAK ISLAND,Marshall Islands
TID,TIARET,Algeria
TIE,TIPPI,Ethiopia
TIF,TAIF,Saudi Arabia
TIG,TINGWON,Papua New Guinea
TIH,TIKEHAU,French Polynesia
TII,TARIN KOT,Afghanistan
TIJ,TIJUANA,Mexico
TIM,TEMBAGAPURA/TIMIKA,Indonesia
TIN,TINDOUF,Algeria
TIO,TILIN,Myanmar
TIP,TRIPOLI,Libya
TIQ,TINIAN,Northern Mariana Islands (incl. Mariana Islands except Guam)
TIR,TIRUPATI,India (including Andaman Isl.)
TIS,THURSDAY ISLAND,Australia
TIU,TIMARU,New Zealand
TIV,TIVAT,Montenegro
TIY,TIDJIKJA,Mauritania
TIZ,TARI,Papua New Guinea
TJA,TARIJA,Bolivia
TJB,TANJUNG BALAI,Indonesia
TJH,TOYOOKA,Japan
TJI,TRUJILLO,Honduras
TJK,TOKAT,Turkey
TJL,TRES LAGOAS,Brazil
TJM,TYUMEN,Russia (in Asia)
TJN,TAKUME,French Polynesia
TJQ,TANJUNG PANDAN,Indonesia
TJS,TANJUNG SELOR,Indonesia
TJU,KULOB,Tajikistan
TJV,THANJAVUR,India (including Andaman Isl.)
TKA,TALKEETNA,United States of America
TKB,TEKADU,Papua New Guinea
TKC,TIKO,Cameroon
TKD,TAKORADI,Ghana
TKE,TENAKEE SPRINGS,United States of America
TKG,BANDAR LAMPUNG,Indonesia
TKI,TOKEEN,United States of America
TKJ,TOK,United States of America
TKK,CHUUK,Micronesia
TKM,TIKAL,Guatemala
TKN,TOKUNOSHIMA,Japan
TKP,TAKAPOTO,French Polynesia
TKQ,KIGOMA,Tanzania
TKR,THAKURGAON,Pakistan
TKS,TOKUSHIMA,Japan
TKT,TAK,Thailand
TKU,TURKU,Finland
TKV,TATAKOTO,French Polynesia
TKW,TEKIN,Papua New Guinea
TKX,TAKAROA,French Polynesia
TKY,TURKEY CREEK,Australia
TLA,TELLER,United States of America
TLB,TARBELA DAM,Pakistan
TLD,TULI BLOCK,Botswana
TLE,TOLIARA,Madagascar
TLG,TULAGHI ISLAND,Solomon Islands
TLH,TALLAHASSEE,United States of America
TLI,TOLITOLI,Indonesia
TLK,TALAKAN,Russia (in Asia)
TLL,TALLINN,Estonia
TLM,TLEMCEN,Algeria
TLN,TOULON/HYERES,France
TLO,TOL,Papua New Guinea
TLP,TUMOLBIL,Papua New Guinea
TLS,TOULOUSE,France
TLT,TULUKSAK,United States of America
TLU,TOLU,Colombia
TLV,TEL AVIV YAFO,Israel
TLW,TALASEA,Papua New Guinea
TLZ,CATALAO,Brazil
TMC,TAMBOLAKA,Indonesia
TMD,TIMBEDRA,Mauritania
TME,TAME,Colombia
TMG,TOMANGGONG,Malaysia
TMH,TANAHMERAH,Indonesia
TMI,TUMLINGTAR,Nepal
TMJ,TERMEZ,Uzbekistan
TMK,TAM KY,Vietnam
TML,TAMALE,Ghana
TMM,TOAMASINA,Madagascar
TMN,TAMANA,Kiribati
TMO,TUMEREMO,Venezuela
TMP,TAMPERE,Finland
TMR,TAMANRASSET,Algeria
TMS,SAO TOME,Sao Tome and Principe
TMT,TROMBETAS,Brazil
TMU,TAMBOR,Costa Rica
TMW,TAMWORTH,Australia
TMX,TIMIMOUN,Algeria
TMY,TIOM,Indonesia
TNA,JINAN,"China, People’s Republic of"
TNB,TANAH GROGOT,Indonesia
TNC,TIN CITY,United States of America
TND,TRINIDAD,Cuba
TNE,TANEGASHIMA,Japan
TNF,TOUSSUS-LE-NOBLE,France
TNG,TANGIER,Morocco
TNH,TONGHUA,"China, People’s Republic of"
TNI,SATNA,India (including Andaman Isl.)
TNJ,TANJUNG PINANG,Indonesia
TNK,TUNUNAK,United States of America
TNN,TAINAN,Chinese Taipei
TNO,TAMARINDO,Costa Rica
TNR,ANTANANARIVO,Madagascar
TNS,TUNGSTEN,Canada
TNW,TENA,Ecuador
TNX,STUNG TRENG,Cambodia
TOB,TOBRUK,Libya
TOD,TIOMAN ISLAND,Malaysia
TOE,TOZEUR,Tunisia
TOF,TOMSK,Russia (in Asia)
TOG,TOGIAK,United States of America
TOH,TORRES ISLAND,Vanuatu
TOK,TOROKINA,Papua New Guinea
TOL,TOLEDO,United States of America
TOM,TOMBOUCTOU,Mali
TON,TONU,Papua New Guinea
TOP,TOPEKA,United States of America
TOS,TROMSO,Norway
TOU,TOUHO,New Caledonia (including Loyalty Islands)
TOV,TORTOLA,"Virgin Islands, (British)"
TOV,TORTOLA,"Virgin Islands, (British)"
TOW,TOLEDO,Brazil
TOY,TOYAMA,Japan
TOZ,TOUBA,Cote d’Ivoire
TPA,TAMPA,United States of America
TPC,TARAPOA,Ecuador
TPE,TAIPEI,Chinese Taipei
TPI,TAPINI,Papua New Guinea
TPJ,TAPLEJUNG,Nepal
TPK,TAPAKTUAN,Indonesia
TPL,TEMPLE,United States of America
TPN,TIPUTINI,Ecuador
TPP,TARAPOTO,Peru
TPQ,TEPIC,Mexico
TPR,TOM PRICE,Australia
TPS,TRAPANI,Italy
TQL,TARKO-SALE,Russia (in Asia)
TQR,SAN DOMINO ISLANDS,Italy
TQS,TRES ESQUINAS,Colombia
TRA,TARAMA,Japan
TRB,TURBO,Colombia
TRC,TORREON,Mexico
TRD,TRONDHEIM,Norway
TRE,TIREE,United Kingdom
TRG,TAURANGA,New Zealand
TRH,TRONA,United States of America
TRI,BRISTOL,United States of America
TRI,JOHNSON CITY,United States of America
TRI,KINGSPORT,United States of America
TRI,TRI-CITY,United States of America
TRJ,TARAKBITS,Papua New Guinea
TRK,TARAKAN,Indonesia
TRN,TURIN,Italy
TRO,TAREE,Australia
TRR,TRINCOMALEE,Sri Lanka
TRS,TRIESTE,Italy
TRU,TRUJILLO,Peru
TRV,THIRUVANANTHAPURAM,India (including Andaman Isl.)
TRW,TARAWA,Kiribati
TRY,TORORO,Uganda
TRZ,TIRUCHCHIRAPPALLI,India (including Andaman Isl.)
TSB,TSUMEB,Namibia
TSC,TAISHA,Ecuador
TSD,TSHIPISE,South Africa
TSH,TSHIKAPA,"Congo, Democratic Republic of"
TSI,TSILI TSILI,Papua New Guinea
TSJ,TSUSHIMA,Japan
TSK,TASKUL,Papua New Guinea
TSL,TAMUIN,Mexico
TSM,TAOS,United States of America
TSN,TIANJIN,"China, People’s Republic of"
TSR,TIMISOARA,Romania
TST,TRANG,Thailand
TSU,TABITEUEA SOUTH,Kiribati
TSV,TOWNSVILLE,Australia
TSW,TSEWI,Papua New Guinea
TSY,TASIKMALAYA,Indonesia
TTA,TAN-TAN,Morocco
TTB,TORTOLI,Italy
TTE,TERNATE,Indonesia
TTG,TARTAGAL,Argentina
TTJ,TOTTORI,Japan
TTN,TRENTON,United States of America
TTQ,TORTUGUERO,Costa Rica
TTR,TANA TORAJA,Indonesia
TTS,TSARATANANA,Madagascar
TTT,FONGNIAN,Chinese Taipei
TTU,TETOUAN,Morocco
TUA,TULCAN,Ecuador
TUB,TUBUAI,French Polynesia
TUC,TUCUMAN,Argentina
TUD,TAMBACOUNDA,Senegal
TUF,TOURS,France
TUG,TUGUEGARAO,Philippines
TUI,TURAIF,Saudi Arabia
TUJ,TUM,Ethiopia
TUK,TURBAT,Pakistan
TUL,TULSA,United States of America
TUM,TUMUT,Australia
TUN,TUNIS,Tunisia
TUO,TAUPO,New Zealand
TUP,TUPELO,United States of America
TUQ,TOUGAN,Burkina Faso
TUR,TUCURUI,Brazil
TUS,TUCSON,United States of America
TUU,TABUK,Saudi Arabia
TUV,TUCUPITA,Venezuela
TUY,TULUM,Mexico
TUZ,TUCUMA,Brazil
TVA,MORAFENOBE,Madagascar
TVC,TRAVERSE CITY,United States of America
TVF,THIEF RIVER FALLS,United States of America
TVL,LAKE TAHOE,United States of America
TVS,TANGSHAN,"China, People’s Republic of"
TVU,TAVEUNI,Fiji
TVY,DAWEI,Myanmar
TWA,TWIN HILLS,United States of America
TWB,TOOWOOMBA,Australia
TWC,TUMUSHUKE,"China, People’s Republic of"
TWD,PORT TOWNSEND,United States of America
TWF,TWIN FALLS,United States of America
TWT,TAWI TAWI ISLAND,Philippines
TWU,TAWAU,Malaysia
TXF,TEIXEIRA DE FREITAS,Brazil
TXK,TEXARKANA,United States of America
TXM,TEMINABUAN,Indonesia
TXN,HUANGSHAN,"China, People’s Republic of"
TXU,TABOU,Cote d’Ivoire
TYF,TORSBY,Sweden
TYL,TALARA,Peru
TYN,TAIYUAN,"China, People’s Republic of"
TYO,TOKYO,Japan
TYR,TYLER,United States of America
TYS,KNOXVILLE,United States of America
TZL,TUZLA,Bosnia and Herzegovina
TZN,SOUTH ANDROS,Bahamas
